invoice_id,product_line,unit_price,quantity
750-67-8428,Health and beauty,K74.69,7
226-31-3081,Electronic accessories,K15.28,5
631-41-3108,Home and lifestyle,K46.33,7
123-19-1176,Health and beauty,K58.22,8
373-73-7910,Sports and travel,K86.31,7
699-14-3026,Electronic accessories,K85.39,7
355-53-5943,Electronic accessories,K68.84,6
315-22-5665,Home and lifestyle,K73.56,10
665-32-9167,Health and beauty,K36.26,2
692-92-5582,Food and beverages,K54.84,3
351-62-0822,Fashion accessories,K14.48,4
529-56-3974,Electronic accessories,K25.51,4
365-64-0515,Electronic accessories,K46.95,5
252-56-2699,Food and beverages,K43.19,10
829-34-3910,Health and beauty,K71.38,10
299-46-1805,Sports and travel,K93.72,6
656-95-9349,Health and beauty,K68.93,7
765-26-6951,Sports and travel,K72.61,6
329-62-1586,Food and beverages,K54.67,3
319-50-3348,Home and lifestyle,K40.30,2
300-71-4605,Electronic accessories,K86.04,5
371-85-5789,Health and beauty,K87.98,3
273-16-6619,Home and lifestyle,K33.20,2
636-48-8204,Electronic accessories,K34.56,5
549-59-1358,Sports and travel,K88.63,3
227-03-5010,Home and lifestyle,K52.59,8
649-29-6775,Fashion accessories,K33.52,1
189-17-4241,Fashion accessories,K87.67,2
145-94-9061,Food and beverages,K88.36,5
